ダウンロードした時刻：2021/02/03 17:42:19

,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪
2016/1/27,8.1,8,1,11.0,8,1,5.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴後薄曇,8,1,晴時々曇,8,1
2016/1/28,8.0,8,1,12.2,8,1,2.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,雨時々曇,8,1
2016/1/29,7.6,8,1,8.8,8,1,6.7,8,1,50.5,0,8,1,0,1,8,1,0,1,8,1,大雨,8,1,雨一時曇,8,1
2016/1/30,8.0,8,1,10.5,8,1,6.5,8,1,7.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇後一時晴,8,1
2016/1/31,8.3,8,1,11.6,8,1,4.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後一時薄曇,8,1,曇,8,1
2016/2/1,7.2,8,1,9.5,8,1,5.3,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,曇一時雨,8,1
2016/2/2,6.1,8,1,10.1,8,1,3.7,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇後時々晴,8,1,晴,8,1
2016/2/3,4.8,8,1,9.5,8,1,1.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,晴,8,1
2016/2/4,5.7,8,1,10.2,8,1,0.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,薄曇時々晴,8,1
2016/2/5,6.8,8,1,10.9,8,1,3.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後薄曇,8,1,晴一時曇,8,1
2016/2/6,6.2,8,1,10.0,8,1,3.1,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,晴時々曇,8,1
2016/2/7,4.6,8,1,8.5,8,1,2.0,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴、みぞれを伴う,8,1,快晴,8,1
2016/2/8,5.4,8,1,11.2,8,1,-0.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,快晴,8,1,曇一時晴,8,1
2016/2/9,8.1,8,1,11.5,8,1,4.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴一時雨,8,1,晴時々曇,8,1
2016/2/10,6.1,8,1,9.5,8,1,3.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2016/2/11,7.0,8,1,13.1,8,1,1.3,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2016/2/12,10.7,8,1,16.9,8,1,5.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,曇,8,1
2016/2/13,13.4,8,1,18.1,8,1,10.8,8,1,38.5,0,8,1,0,1,8,1,0,1,8,1,曇後雨,8,1,大雨,8,1
2016/2/14,15.5,8,1,20.3,8,1,10.7,8,1,14.5,0,8,1,0,1,8,1,0,1,8,1,曇時々晴一時雨,8,1,曇,8,1
2016/2/15,7.1,8,1,10.8,8,1,3.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時雨後時々晴,8,1,晴一時曇,8,1
2016/2/16,5.1,8,1,8.3,8,1,2.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,曇時々雨,8,1
2016/2/17,5.7,8,1,9.6,8,1,2.7,8,1,3.5,0,8,1,0,1,8,1,0,1,8,1,晴後時々曇、みぞれを伴う,8,1,快晴,8,1
2016/2/18,6.1,8,1,11.5,8,1,0.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴一時曇,8,1
2016/2/19,9.7,8,1,14.5,8,1,3.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後曇,8,1,曇,8,1
2016/2/20,8.9,8,1,10.0,8,1,8.2,8,1,21.0,0,8,1,0,1,8,1,0,1,8,1,雨,8,1,曇一時雨,8,1
2016/2/21,8.0,8,1,11.8,8,1,4.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴後一時曇,8,1,晴時々曇,8,1
2016/2/22,6.5,8,1,8.8,8,1,3.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,曇,8,1
2016/2/23,8.2,8,1,9.8,8,1,6.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時雨後時々晴,8,1,晴後曇,8,1
2016/2/24,5.6,8,1,9.0,8,1,2.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,曇一時晴,8,1
2016/2/25,4.8,8,1,9.0,8,1,1.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2016/2/26,5.3,8,1,9.6,8,1,1.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴,8,1
2016/2/27,8.0,8,1,13.9,8,1,2.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴後曇時々雨,8,1,曇一時雨後晴,8,1
2016/2/28,10.5,8,1,15.8,8,1,5.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴後曇,8,1
2016/2/29,8.2,8,1,12.0,8,1,1.5,8,1,3.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,晴時々曇一時雪,8,1
2016/3/1,3.3,8,1,7.3,8,1,0.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴後一時曇,8,1,快晴,8,1
2016/3/2,6.6,8,1,11.1,8,1,1.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2016/3/3,8.9,8,1,14.4,8,1,2.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2016/3/4,12.1,8,1,18.2,8,1,5.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,曇後一時晴,8,1
2016/3/5,15.6,8,1,20.3,8,1,11.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,晴一時曇,8,1
2016/3/6,16.6,8,1,20.8,8,1,10.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇,8,1
2016/3/7,17.2,8,1,20.8,8,1,14.7,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇後時々晴,8,1,快晴,8,1
2016/3/8,15.0,8,1,20.2,8,1,11.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,曇,8,1
2016/3/9,9.0,8,1,12.8,8,1,6.9,8,1,44.5,0,8,1,0,1,8,1,0,1,8,1,大雨,8,1,曇一時雨,8,1
2016/3/10,7.4,8,1,10.4,8,1,5.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇,8,1
2016/3/11,7.1,8,1,12.2,8,1,4.3,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,晴,8,1
2016/3/12,7.0,8,1,12.3,8,1,2.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴後薄曇,8,1
2016/3/13,8.6,8,1,14.3,8,1,4.1,8,1,9.5,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,雨,8,1
2016/3/14,6.6,8,1,8.4,8,1,5.1,8,1,19.5,0,8,1,0,1,8,1,0,1,8,1,雨後曇,8,1,曇後晴,8,1
2016/3/15,8.6,8,1,13.7,8,1,5.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴後一時薄曇,8,1
2016/3/16,8.7,8,1,14.9,8,1,3.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇,8,1,晴一時薄曇,8,1
2016/3/17,13.1,8,1,20.1,8,1,6.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後時々薄曇,8,1,薄曇,8,1
2016/3/18,14.5,8,1,19.7,8,1,9.2,8,1,8.0,0,8,1,0,1,8,1,0,1,8,1,曇一時晴後時々雨,8,1,雨時々曇,8,1
2016/3/19,14.2,8,1,16.9,8,1,10.8,8,1,9.5,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,曇後一時晴,8,1
2016/3/20,11.3,8,1,16.2,8,1,9.1,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,曇一時晴,8,1
2016/3/21,9.8,8,1,14.7,8,1,6.4,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2016/3/22,10.7,8,1,16.8,8,1,4.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後一時薄曇,8,1,晴後時々薄曇,8,1
2016/3/23,12.5,8,1,19.6,8,1,7.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴一時薄曇,8,1,曇,8,1
2016/3/24,9.0,8,1,13.4,8,1,6.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,晴一時曇,8,1
2016/3/25,7.6,8,1,12.3,8,1,4.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,晴,8,1
2016/3/26,8.3,8,1,14.1,8,1,3.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴,8,1
2016/3/27,10.0,8,1,15.6,8,1,4.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,曇時々雨後晴,8,1
2016/3/28,10.6,8,1,15.1,8,1,6.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴後一時雨,8,1,快晴,8,1
2016/3/29,12.1,8,1,16.6,8,1,6.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後薄曇,8,1,曇後時々晴,8,1
2016/3/30,15.1,8,1,18.9,8,1,10.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,薄曇時々晴,8,1
2016/3/31,16.5,8,1,22.0,8,1,11.3,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,曇後時々雨,8,1
2016/4/1,14.5,8,1,16.4,8,1,13.0,8,1,4.0,0,8,1,0,1,8,1,0,1,8,1,雨一時曇,8,1,曇一時雨後晴,8,1
2016/4/2,16.9,8,1,21.5,8,1,13.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後曇,8,1,曇一時晴,8,1
2016/4/3,17.8,8,1,22.5,8,1,14.3,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,雨一時曇,8,1
2016/4/4,16.0,8,1,21.6,8,1,12.7,8,1,16.5,0,8,1,0,1,8,1,0,1,8,1,雨後曇,8,1,曇,8,1
2016/4/5,14.5,8,1,18.2,8,1,12.3,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇後一時晴,8,1,晴時々薄曇,8,1
2016/4/6,16.5,8,1,22.3,8,1,10.7,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,曇後雨,8,1
2016/4/7,17.2,8,1,22.5,8,1,13.0,8,1,55.5,0,8,1,0,1,8,1,0,1,8,1,大雨,8,1,曇一時雨,8,1
2016/4/8,16.0,8,1,18.9,8,1,13.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇,8,1,薄曇時々晴,8,1
2016/4/9,17.0,8,1,22.7,8,1,11.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,薄曇,8,1
2016/4/10,17.4,8,1,21.0,8,1,13.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇,8,1
2016/4/11,11.4,8,1,16.4,8,1,7.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇後晴,8,1,晴後一時薄曇,8,1
2016/4/12,12.1,8,1,18.0,8,1,5.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇一時晴,8,1,曇,8,1
2016/4/13,16.3,8,1,20.9,8,1,13.9,8,1,10.0,0,8,1,0,1,8,1,0,1,8,1,曇後雨,8,1,雨時々曇,8,1
2016/4/14,18.4,8,1,23.3,8,1,14.7,8,1,5.5,0,8,1,0,1,8,1,0,1,8,1,晴時々薄曇,8,1,晴一時薄曇,8,1
2016/4/15,15.6,8,1,20.7,8,1,11.3,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2016/4/16,16.3,8,1,23.6,8,1,8.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇時々晴,8,1,曇時々雨,8,1
2016/4/17,20.3,8,1,25.9,8,1,16.1,8,1,6.0,0,8,1,0,1,8,1,0,1,8,1,晴一時雨,8,1,晴後薄曇,8,1
2016/4/18,15.8,8,1,18.9,8,1,12.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇後晴,8,1
2016/4/19,14.9,8,1,20.3,8,1,10.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2016/4/20,15.8,8,1,22.0,8,1,9.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,曇一時晴,8,1
2016/4/21,15.6,8,1,16.7,8,1,14.4,8,1,17.5,0,8,1,0,1,8,1,0,1,8,1,雨一時曇,8,1,曇一時雨,8,1
2016/4/22,19.4,8,1,23.8,8,1,15.8,8,1,3.5,0,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,晴後時々薄曇,8,1
2016/4/23,18.9,8,1,24.5,8,1,14.4,8,1,1.0,0,8,1,0,1,8,1,0,1,8,1,曇後一時雨,8,1,雨時々曇,8,1
2016/4/24,18.0,8,1,23.6,8,1,15.1,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,薄曇後時々晴,8,1
2016/4/25,19.0,8,1,25.3,8,1,13.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇後晴,8,1
2016/4/26,20.6,8,1,27.5,8,1,15.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後時々薄曇,8,1,曇,8,1
2016/4/27,18.5,8,1,20.4,8,1,16.8,8,1,2.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇一時雨,8,1
2016/4/28,16.7,8,1,19.4,8,1,13.5,8,1,4.5,0,8,1,0,1,8,1,0,1,8,1,雨時々曇,8,1,曇時々雨後晴,8,1
2016/4/29,13.4,8,1,17.6,8,1,10.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,快晴,8,1
2016/4/30,15.8,8,1,22.0,8,1,8.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2016/5/1,19.6,8,1,25.0,8,1,13.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後曇,8,1,晴一時薄曇,8,1
2016/5/2,21.2,8,1,29.2,8,1,14.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後時々薄曇,8,1,薄曇,8,1
2016/5/3,21.3,8,1,24.9,8,1,16.6,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,曇後時々雨,8,1,曇時々雨一時晴,8,1
2016/5/4,20.5,8,1,25.1,8,1,16.1,8,1,3.0,0,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2016/5/5,21.1,8,1,25.2,8,1,18.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後薄曇,8,1,曇,8,1
2016/5/6,17.5,8,1,21.5,8,1,16.2,8,1,5.0,0,8,1,0,1,8,1,0,1,8,1,曇後雨,8,1,曇一時雨,8,1
2016/5/7,18.9,8,1,22.8,8,1,16.0,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,薄曇時々晴,8,1
2016/5/8,20.1,8,1,25.8,8,1,13.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,曇後時々雨,8,1
2016/5/9,16.7,8,1,19.4,8,1,14.7,8,1,28.0,0,8,1,0,1,8,1,0,1,8,1,雨,8,1,雨時々曇,8,1
2016/5/10,18.5,8,1,21.2,8,1,15.6,8,1,13.0,0,8,1,0,1,8,1,0,1,8,1,雨時々曇,8,1,雨後時々曇,8,1
2016/5/11,19.2,8,1,24.3,8,1,15.5,8,1,6.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇後晴,8,1
2016/5/12,19.5,8,1,26.2,8,1,12.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2016/5/13,21.2,8,1,26.1,8,1,16.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後薄曇,8,1,薄曇時々晴,8,1
2016/5/14,22.2,8,1,28.1,8,1,16.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇一時晴,8,1,晴時々薄曇,8,1
2016/5/15,22.4,8,1,27.3,8,1,17.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇一時晴,8,1,曇,8,1
2016/5/16,21.9,8,1,27.9,8,1,13.7,8,1,44.5,0,8,1,0,1,8,1,0,1,8,1,曇後一時雨,8,1,大雨,8,1
2016/5/17,17.8,8,1,24.3,8,1,11.7,8,1,3.5,0,8,1,0,1,8,1,0,1,8,1,薄曇時々晴,8,1,晴,8,1
2016/5/18,19.8,8,1,27.6,8,1,12.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴一時薄曇,8,1,晴,8,1
2016/5/19,22.1,8,1,28.3,8,1,16.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇一時晴,8,1,曇一時晴,8,1
2016/5/20,22.3,8,1,28.9,8,1,19.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇後晴,8,1,晴,8,1
2016/5/21,22.9,8,1,28.9,8,1,17.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴,8,1
2016/5/22,22.2,8,1,27.8,8,1,17.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴後一時薄曇,8,1
2016/5/23,25.0,8,1,30.7,8,1,19.3,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇時々晴,8,1,晴一時薄曇,8,1
2016/5/24,24.3,8,1,29.2,8,1,19.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後曇,8,1,曇後時々雨,8,1
2016/5/25,23.9,8,1,26.1,8,1,21.1,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,曇,8,1
2016/5/26,24.4,8,1,29.1,8,1,21.9,8,1,15.5,0,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,雨後時々曇,8,1
2016/5/27,23.5,8,1,28.4,8,1,19.7,8,1,6.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,晴後曇,8,1
2016/5/28,20.8,8,1,22.9,8,1,19.0,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,晴,8,1
2016/5/29,21.4,8,1,27.5,8,1,17.7,8,1,5.0,0,8,1,0,1,8,1,0,1,8,1,晴後曇時々雨,8,1,雨,8,1
2016/5/30,21.3,8,1,25.4,8,1,17.8,8,1,6.0,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,曇,8,1
2016/5/31,24.1,8,1,29.2,8,1,20.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,薄曇後一時晴,8,1
2016/6/1,21.1,8,1,25.1,8,1,17.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇後時々晴,8,1,晴,8,1
2016/6/2,19.7,8,1,24.9,8,1,16.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2016/6/3,20.8,8,1,26.6,8,1,14.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴時々薄曇,8,1
2016/6/4,21.8,8,1,25.6,8,1,18.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,雨一時曇,8,1
2016/6/5,19.5,8,1,23.5,8,1,15.5,8,1,18.0,0,8,1,0,1,8,1,0,1,8,1,雨後曇,8,1,晴後時々薄曇,8,1
2016/6/6,22.6,8,1,28.2,8,1,17.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,曇,8,1
2016/6/7,20.4,8,1,23.0,8,1,18.6,8,1,26.5,0,8,1,0,1,8,1,0,1,8,1,雨時々曇,8,1,晴一時雨,8,1
2016/6/8,23.1,8,1,29.1,8,1,18.3,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,曇,8,1
2016/6/9,23.6,8,1,28.2,8,1,21.0,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,晴時々曇,8,1
2016/6/10,25.6,8,1,31.5,8,1,20.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴後一時薄曇,8,1
2016/6/11,25.4,8,1,30.3,8,1,21.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,曇,8,1
2016/6/12,24.1,8,1,28.0,8,1,21.0,8,1,14.5,0,8,1,0,1,8,1,0,1,8,1,曇後雨,8,1,雨,8,1
2016/6/13,22.7,8,1,26.4,8,1,20.7,8,1,4.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇,8,1
2016/6/14,24.8,8,1,29.1,8,1,21.0,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,晴一時曇,8,1
2016/6/15,25.5,8,1,30.2,8,1,21.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後曇,8,1,曇,8,1
2016/6/16,22.5,8,1,24.7,8,1,20.7,8,1,38.5,0,8,1,0,1,8,1,0,1,8,1,大雨,8,1,雨時々曇,8,1
2016/6/17,24.3,8,1,27.2,8,1,20.7,8,1,1.5,0,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,曇後晴,8,1
2016/6/18,26.2,8,1,32.3,8,1,20.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇時々晴,8,1,曇後一時雨,8,1
2016/6/19,22.5,8,1,25.3,8,1,20.2,8,1,16.5,0,8,1,0,1,8,1,0,1,8,1,雨時々曇,8,1,曇,8,1
2016/6/20,25.3,8,1,28.5,8,1,21.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,大雨時々曇,8,1
2016/6/21,25.3,8,1,29.3,8,1,20.7,8,1,40.5,0,8,1,0,1,8,1,0,1,8,1,曇時々晴一時雨,8,1,曇,8,1
