ダウンロードした時刻：2021/02/03 17:31:37

,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇
2010/1/27,18.4,8,1,22.1,5,1,13.5,5,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴,8,1
2010/1/28,19.1,8,1,24.1,8,1,16.1,8,1,18.0,0,8,1,0,1,8,1,0,1,8,1,晴後雨時々曇,8,1,曇時々雨,8,1
2010/1/29,18.0,8,1,21.2,8,1,15.4,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,曇,8,1
2010/1/30,19.7,8,1,22.0,8,1,17.4,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇時々雨,8,1
2010/1/31,21.1,8,1,24.4,8,1,19.5,8,1,14.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇時々晴一時雨,8,1
2010/2/1,20.6,8,1,24.5,8,1,17.3,8,1,9.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇,8,1
2010/2/2,17.5,8,1,19.7,8,1,16.0,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇後一時雨,8,1
2010/2/3,16.2,8,1,18.1,8,1,15.0,8,1,2.5,0,8,1,0,1,8,1,0,1,8,1,雨時々曇,8,1,曇,8,1
2010/2/4,16.0,8,1,17.8,8,1,14.4,8,1,2.0,0,8,1,0,1,8,1,0,1,8,1,雨時々曇,8,1,雨,8,1
2010/2/5,15.3,8,1,16.8,8,1,14.0,8,1,2.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,雨時々曇,8,1
2010/2/6,15.8,8,1,16.9,8,1,14.4,8,1,2.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,雨一時曇,8,1
2010/2/7,18.0,8,1,20.5,8,1,15.6,8,1,10.0,0,8,1,0,1,8,1,0,1,8,1,雨一時曇,8,1,曇時々雨,8,1
2010/2/8,20.7,8,1,24.2,8,1,18.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,晴時々曇,8,1
2010/2/9,21.4,8,1,25.0,8,1,18.3,8,1,27.5,0,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,曇時々晴一時雨、雷を伴う,8,1
2010/2/10,22.8,8,1,25.0,8,1,21.4,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇,8,1
2010/2/11,23.1,8,1,26.1,8,1,18.3,8,1,1.5,0,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,曇時々雨,8,1
2010/2/12,16.6,8,1,18.4,8,1,15.3,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇時々雨,8,1
2010/2/13,15.7,8,1,16.3,8,1,14.7,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇,8,1
2010/2/14,19.2,8,1,21.4,8,1,15.2,8,1,16.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,大雨一時曇、雷を伴う,8,1
2010/2/15,19.5,8,1,21.5,8,1,17.3,8,1,84.0,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,雨時々曇,8,1
2010/2/16,15.2,8,1,17.5,8,1,13.4,8,1,9.5,0,8,1,0,1,8,1,0,1,8,1,雨時々曇,8,1,曇時々雨,8,1
2010/2/17,13.9,8,1,16.2,8,1,12.6,8,1,4.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,雨一時曇,8,1
2010/2/18,13.4,8,1,14.8,8,1,12.0,8,1,5.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇時々雨,8,1
2010/2/19,13.6,8,1,14.5,8,1,12.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇時々雨,8,1
2010/2/20,14.8,8,1,19.0,8,1,12.0,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,晴,8,1
2010/2/21,17.1,8,1,21.6,8,1,12.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴時々薄曇,8,1,曇時々晴一時雨,8,1
2010/2/22,18.7,8,1,21.5,8,1,15.9,8,1,42.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇時々大雨、雷を伴う,8,1
2010/2/23,19.4,8,1,23.1,8,1,15.7,8,1,3.5,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2010/2/24,19.9,8,1,24.2,8,1,14.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴,8,1
2010/2/25,22.4,8,1,25.6,8,1,19.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴時々曇,8,1
2010/2/26,22.7,8,1,25.3,8,1,20.6,8,1,52.5,0,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,曇時々大雨,8,1
2010/2/27,22.1,8,1,25.4,8,1,20.6,8,1,1.0,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,曇一時雨,8,1
2010/2/28,20.5,8,1,22.7,8,1,18.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,晴,8,1
2010/3/1,22.5,8,1,26.0,8,1,19.3,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,曇一時晴,8,1
2010/3/2,22.8,8,1,25.8,8,1,20.1,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,曇一時雨,8,1
2010/3/3,21.3,8,1,25.0,8,1,18.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,薄曇時々晴,8,1,薄曇一時晴,8,1
2010/3/4,23.3,8,1,26.3,8,1,20.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴後曇,8,1
2010/3/5,24.2,8,1,27.3,8,1,22.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,晴時々曇,8,1
2010/3/6,24.5,8,1,27.3,8,1,23.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,曇時々晴,8,1
2010/3/7,20.8,8,1,23.8,8,1,19.1,8,1,3.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇後一時晴,8,1
2010/3/8,19.2,8,1,19.9,8,1,18.3,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,曇時々雨,8,1
2010/3/9,17.7,8,1,22.1,8,1,13.7,8,1,24.0,0,8,1,0,1,8,1,0,1,8,1,雨一時曇,8,1,曇時々雨,8,1
2010/3/10,11.5,8,1,14.4,8,1,9.7,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇,8,1
2010/3/11,13.7,8,1,17.0,8,1,11.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇後晴,8,1,快晴,8,1
2010/3/12,16.8,8,1,22.5,8,1,10.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴,8,1
2010/3/13,20.4,8,1,24.0,8,1,15.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後曇,8,1,曇,8,1
2010/3/14,21.3,8,1,23.2,8,1,20.3,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,雨,8,1
2010/3/15,22.6,8,1,25.7,8,1,20.1,8,1,7.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇時々雨,8,1
2010/3/16,17.5,8,1,20.1,8,1,15.8,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇,8,1
2010/3/17,17.8,8,1,20.9,8,1,15.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇,8,1
2010/3/18,20.0,8,1,23.2,8,1,18.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,晴,8,1
2010/3/19,20.2,8,1,24.4,8,1,15.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後薄曇,8,1,晴一時薄曇,8,1
2010/3/20,23.1,8,1,26.6,8,1,20.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴時々曇一時雨,8,1
2010/3/21,19.8,8,1,23.2,8,1,17.2,8,1,3.0,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴,8,1
2010/3/22,20.7,8,1,24.6,8,1,16.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,曇時々晴,8,1
2010/3/23,23.5,8,1,26.7,8,1,20.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,曇時々晴,8,1
2010/3/24,24.4,8,1,27.2,8,1,22.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,晴一時曇,8,1
2010/3/25,19.7,8,1,24.4,8,1,15.8,8,1,1.5,0,8,1,0,1,8,1,0,1,8,1,雨時々曇一時晴,8,1,曇時々雨,8,1
2010/3/26,16.2,8,1,18.3,8,1,14.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇後一時晴,8,1,晴一時曇,8,1
2010/3/27,16.4,8,1,20.0,8,1,13.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,晴後時々曇,8,1
2010/3/28,18.7,8,1,21.7,8,1,16.3,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴,8,1
2010/3/29,17.8,8,1,21.1,8,1,15.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴,8,1
2010/3/30,18.6,8,1,22.4,8,1,15.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,曇後一時雨,8,1
2010/3/31,20.7,8,1,23.4,8,1,18.5,8,1,1.5,0,8,1,0,1,8,1,0,1,8,1,曇時々晴一時雨,8,1,晴時々曇,8,1
2010/4/1,23.1,8,1,26.1,8,1,20.0,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,晴一時雨,8,1
2010/4/2,19.5,8,1,23.1,8,1,16.5,8,1,9.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,雨時々曇,8,1
2010/4/3,17.8,8,1,20.5,8,1,15.1,8,1,6.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇時々雨,8,1
2010/4/4,21.1,8,1,22.9,8,1,19.0,8,1,40.0,0,8,1,0,1,8,1,0,1,8,1,雨時々曇,8,1,曇時々雨、雷を伴う,8,1
2010/4/5,21.9,8,1,23.6,8,1,20.4,8,1,1.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,晴時々曇,8,1
2010/4/6,21.3,8,1,23.5,8,1,19.5,8,1,33.5,0,8,1,0,1,8,1,0,1,8,1,雨時々曇,8,1,雨時々曇,8,1
2010/4/7,20.3,8,1,21.6,8,1,18.3,8,1,4.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,晴一時曇,8,1
2010/4/8,19.4,8,1,22.2,8,1,17.1,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,大雨一時曇,8,1
2010/4/9,21.1,8,1,24.8,8,1,18.8,8,1,44.5,0,8,1,0,1,8,1,0,1,8,1,雨時々晴,8,1,晴一時曇,8,1
2010/4/10,22.1,8,1,24.7,8,1,19.4,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴,8,1
2010/4/11,23.2,8,1,26.7,8,1,18.3,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇時々晴,8,1,曇,8,1
2010/4/12,24.8,8,1,27.4,8,1,22.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇後一時雨,8,1,曇,8,1
2010/4/13,21.2,8,1,23.8,8,1,18.7,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴一時雨,8,1,曇,8,1
2010/4/14,19.6,8,1,21.2,8,1,18.1,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,雨時々曇、雷を伴う,8,1
2010/4/15,19.7,8,1,23.3,8,1,16.6,8,1,30.0,0,8,1,0,1,8,1,0,1,8,1,雨時々曇、雷を伴う,8,1,曇時々雨,8,1
2010/4/16,18.7,8,1,20.8,8,1,17.6,8,1,1.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,晴,8,1
2010/4/17,19.6,8,1,22.6,8,1,16.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,薄曇,8,1
2010/4/18,21.7,8,1,24.1,8,1,19.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,曇一時雨,8,1
2010/4/19,23.7,8,1,25.9,8,1,22.1,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇時々雨一時晴,8,1
2010/4/20,24.7,8,1,28.0,8,1,22.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴一時雨,8,1,晴時々曇一時霧,8,1
2010/4/21,25.4,8,1,28.6,8,1,22.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,薄曇一時晴,8,1,曇時々晴,8,1
2010/4/22,25.5,8,1,28.5,8,1,21.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,曇時々雨,8,1
2010/4/23,19.6,8,1,22.0,8,1,16.0,8,1,7.5,0,8,1,0,1,8,1,0,1,8,1,雨時々曇,8,1,曇一時雨,8,1
2010/4/24,19.4,8,1,21.6,8,1,17.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇後晴,8,1
2010/4/25,21.0,8,1,24.7,8,1,17.1,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴一時曇,8,1
2010/4/26,22.6,8,1,25.0,5,1,20.9,5,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴一時雨,8,1,雨時々曇,8,1
2010/4/27,19.3,8,1,23.0,8,1,15.9,8,1,39.0,0,8,1,0,1,8,1,0,1,8,1,雨,8,1,曇,8,1
2010/4/28,19.5,8,1,23.1,8,1,16.3,8,1,2.5,0,8,1,0,1,8,1,0,1,8,1,曇後時々雨,8,1,曇時々雨,8,1
2010/4/29,20.2,8,1,23.0,8,1,17.7,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇,8,1
2010/4/30,20.1,8,1,22.2,8,1,17.7,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,曇,8,1
2010/5/1,21.8,8,1,25.9,8,1,16.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,薄曇後一時晴,8,1
2010/5/2,22.8,8,1,25.3,8,1,20.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇一時晴,8,1,曇後晴,8,1
2010/5/3,23.3,8,1,25.9,8,1,21.7,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,薄曇時々晴,8,1,晴後曇時々雨,8,1
2010/5/4,23.0,8,1,26.0,8,1,21.1,8,1,2.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨一時晴,8,1,曇時々雨,8,1
2010/5/5,24.5,8,1,28.3,8,1,22.0,8,1,1.5,0,8,1,0,1,8,1,0,1,8,1,晴一時雨,8,1,晴後曇,8,1
2010/5/6,25.8,8,1,28.6,8,1,23.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇後一時晴,8,1,曇後時々雨,8,1
2010/5/7,24.6,8,1,25.2,8,1,23.1,8,1,70.0,0,8,1,0,1,8,1,0,1,8,1,大雨,8,1,大雨後曇,8,1
2010/5/8,23.5,8,1,25.9,8,1,22.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇,8,1
2010/5/9,23.8,8,1,25.6,8,1,22.5,8,1,33.0,0,8,1,0,1,8,1,0,1,8,1,大雨時々曇,8,1,曇後大雨、雷を伴う,8,1
2010/5/10,22.8,8,1,24.6,8,1,21.1,8,1,95.5,0,8,1,0,1,8,1,0,1,8,1,雨,8,1,曇,8,1
2010/5/11,22.7,8,1,24.8,8,1,21.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇時々雨,8,1
2010/5/12,22.8,8,1,26.4,8,1,21.1,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時雨後晴,8,1,晴時々曇,8,1
2010/5/13,22.3,8,1,25.7,8,1,18.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴後曇,8,1,雨時々曇,8,1
2010/5/14,19.3,8,1,20.5,8,1,16.5,8,1,40.5,0,8,1,0,1,8,1,0,1,8,1,大雨,8,1,雨一時曇,8,1
2010/5/15,20.5,8,1,21.4,8,1,19.8,8,1,54.0,0,8,1,0,1,8,1,0,1,8,1,雨,8,1,大雨,8,1
2010/5/16,21.9,8,1,23.2,8,1,20.6,8,1,131.5,0,8,1,0,1,8,1,0,1,8,1,大雨,8,1,雨後時々曇,8,1
2010/5/17,24.1,8,1,26.1,8,1,22.6,8,1,6.0,0,8,1,0,1,8,1,0,1,8,1,曇後時々雨,8,1,曇,8,1
2010/5/18,25.7,8,1,28.1,8,1,24.0,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇,8,1
2010/5/19,26.5,8,1,28.9,8,1,24.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,曇時々晴,8,1
2010/5/20,26.8,8,1,29.7,8,1,25.0,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,曇後時々晴,8,1
2010/5/21,26.5,8,1,29.0,8,1,25.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇後一時雨,8,1,曇,8,1
2010/5/22,27.1,8,1,30.0,8,1,25.4,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇一時晴,8,1
2010/5/23,27.3,8,1,29.5,8,1,25.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇後大雨、雷を伴う,8,1
2010/5/24,22.0,8,1,27.3,8,1,20.3,8,1,74.0,0,8,1,0,1,8,1,0,1,8,1,大雨時々曇,8,1,曇時々晴,8,1
2010/5/25,23.5,8,1,26.5,8,1,19.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴時々曇,8,1
2010/5/26,24.7,8,1,27.9,8,1,21.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後時々薄曇,8,1,薄曇一時晴,8,1
2010/5/27,24.0,8,1,26.6,8,1,22.3,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,曇後時々雨,8,1
2010/5/28,22.7,8,1,24.6,8,1,19.3,8,1,14.5,0,8,1,0,1,8,1,0,1,8,1,曇後時々雨,8,1,曇時々雨,8,1
2010/5/29,23.7,8,1,26.2,8,1,19.9,8,1,41.0,0,8,1,0,1,8,1,0,1,8,1,大雨一時曇,8,1,曇一時雨,8,1
2010/5/30,23.8,8,1,25.5,8,1,22.8,8,1,1.5,0,8,1,0,1,8,1,0,1,8,1,雨時々曇,8,1,曇一時雨,8,1
2010/5/31,23.3,8,1,24.2,8,1,21.2,8,1,9.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇後晴,8,1
2010/6/1,24.4,8,1,28.0,8,1,20.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴,8,1
2010/6/2,24.4,8,1,27.5,8,1,21.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇後時々雨,8,1,曇一時雨,8,1
2010/6/3,24.6,8,1,26.0,8,1,23.4,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,雨時々曇,8,1
2010/6/4,24.0,8,1,26.5,8,1,22.8,8,1,5.5,0,8,1,0,1,8,1,0,1,8,1,雨時々曇,8,1,曇時々雨,8,1
2010/6/5,24.5,8,1,29.0,8,1,22.9,8,1,2.5,0,8,1,0,1,8,1,0,1,8,1,曇後時々雨,8,1,雨時々曇,8,1
2010/6/6,24.8,8,1,27.4,8,1,22.9,8,1,6.0,0,8,1,0,1,8,1,0,1,8,1,雨時々曇,8,1,曇時々雨,8,1
2010/6/7,25.2,8,1,28.1,8,1,23.2,8,1,2.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴一時雨,8,1,曇一時雨,8,1
2010/6/8,25.4,8,1,28.2,8,1,23.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴後一時曇,8,1,晴,8,1
2010/6/9,25.5,8,1,28.7,8,1,22.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,晴時々曇一時雨,8,1
2010/6/10,25.5,8,1,28.8,8,1,24.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,雨時々曇,8,1
2010/6/11,24.1,8,1,25.3,8,1,22.6,8,1,93.5,0,8,1,0,1,8,1,0,1,8,1,大雨,8,1,大雨後曇、雷を伴う,8,1
2010/6/12,25.4,8,1,28.0,8,1,23.3,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,曇一時雨,8,1
2010/6/13,25.8,8,1,28.2,8,1,24.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇後晴,8,1,曇一時晴,8,1
2010/6/14,26.1,8,1,27.7,8,1,24.4,8,1,5.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇時々雨,8,1
2010/6/15,26.3,8,1,29.7,8,1,23.7,8,1,54.5,0,8,1,0,1,8,1,0,1,8,1,曇一時大雨、雷を伴う,8,1,曇時々雨、雷を伴う,8,1
2010/6/16,26.8,8,1,28.1,8,1,24.3,8,1,6.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,雨時々曇,8,1
2010/6/17,27.6,8,1,29.8,8,1,25.4,8,1,15.5,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇,8,1
2010/6/18,28.0,8,1,29.7,8,1,27.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇後時々雨,8,1,曇,8,1
2010/6/19,28.3,8,1,30.7,8,1,27.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,曇,8,1
2010/6/20,28.5,8,1,30.8,8,1,27.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,曇,8,1
