ダウンロードした時刻：2021/02/16 16:51:12

,小田原,小田原,小田原,小田原,小田原,小田原,小田原,小田原,小田原,小田原,小田原,小田原,小田原,小田原,小田原,小田原,小田原,小田原,小田原,小田原,小田原,小田原,小田原,小田原
2010/1/26,6.1,8,1,11.7,8,1,1.2,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/1/27,6.2,8,1,13.5,8,1,-0.1,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/1/28,12.3,8,1,15.8,8,1,6.8,8,1,6.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/1/29,8.8,8,1,15.5,8,1,4.4,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/1/30,7.1,8,1,12.3,8,1,2.2,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/1/31,8.3,8,1,11.9,8,1,3.4,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/2/1,6.0,8,1,11.7,8,1,2.2,8,1,31.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/2/2,4.2,8,1,7.9,8,1,1.7,8,1,2.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/2/3,3.6,8,1,8.5,8,1,-0.1,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/2/4,1.8,8,1,6.8,8,1,-2.1,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/2/5,4.4,8,1,10.2,8,1,-1.5,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/2/6,3.3,8,1,9.4,8,1,-1.4,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/2/7,5.4,8,1,11.6,8,1,-0.9,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/2/8,5.6,8,1,13.7,8,1,-1.3,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/2/9,16.4,8,1,22.3,8,1,11.9,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/2/10,9.7,8,1,13.4,8,1,6.2,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/2/11,4.9,8,1,6.3,8,1,2.8,8,1,29.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/2/12,2.7,8,1,3.2,8,1,2.1,8,1,5.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/2/13,2.0,8,1,2.6,8,1,1.3,8,1,3.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/2/14,4.0,8,1,7.8,8,1,0.7,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/2/15,5.1,8,1,6.7,8,1,2.5,8,1,14.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/2/16,3.7,8,1,6.3,8,1,2.5,8,1,0.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/2/17,2.8,8,1,4.7,8,1,0.7,8,1,0.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/2/18,2.9,8,1,6.1,8,1,0.3,8,1,3.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/2/19,5.2,8,1,10.3,8,1,0.6,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/2/20,5.4,8,1,10.6,8,1,0.3,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/2/21,5.4,8,1,10.3,8,1,0.0,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/2/22,6.8,8,1,10.5,8,1,2.2,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/2/23,8.4,8,1,14.1,8,1,3.2,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/2/24,10.8,8,1,16.1,8,1,4.9,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/2/25,13.4,8,1,19.1,8,1,6.9,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/2/26,16.0,8,1,18.9,8,1,14.0,8,1,17.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/2/27,12.8,8,1,19.2,8,1,9.2,8,1,39.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/2/28,7.3,8,1,9.3,8,1,5.0,8,1,17.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/3/1,11.8,8,1,17.1,8,1,7.0,8,1,5.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/3/2,6.4,8,1,11.2,8,1,4.5,8,1,13.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/3/3,8.0,8,1,12.1,8,1,4.6,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/3/4,7.8,8,1,10.5,8,1,6.5,8,1,22.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/3/5,12.3,8,1,16.9,8,1,7.4,8,1,13.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/3/6,12.0,8,1,14.7,8,1,8.9,8,1,24.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/3/7,6.2,8,1,9.0,8,1,3.4,8,1,21.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/3/8,5.8,8,1,7.9,8,1,3.7,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/3/9,4.1,8,1,5.4,8,1,1.3,8,1,45.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/3/10,8.1,8,1,14.3,8,1,4.2,8,1,10.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/3/11,7.8,8,1,14.3,8,1,1.2,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/3/12,9.5,8,1,14.4,8,1,2.6,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/3/13,16.3,8,1,20.7,8,1,11.7,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/3/14,10.2,8,1,14.0,8,1,5.9,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/3/15,13.3,8,1,18.7,8,1,7.2,8,1,1.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/3/16,17.7,8,1,24.5,8,1,10.8,8,1,73.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/3/17,8.9,8,1,12.4,8,1,5.8,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/3/18,9.2,8,1,12.6,8,1,4.1,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/3/19,8.0,8,1,11.5,8,1,5.5,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/3/20,14.8,8,1,20.6,8,1,5.1,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/3/21,15.5,8,1,20.9,8,1,7.0,8,1,83.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/3/22,8.6,8,1,12.7,8,1,2.8,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/3/23,8.7,4,1,11.9,4,1,7.2,4,1,0.5,4,1,,0,1,,0,1,,0,1,,0,1
2010/3/24,6.1,4,1,9.6,4,1,4.7,4,1,29.5,4,1,,0,1,,0,1,,0,1,,0,1
2010/3/25,6.3,8,1,7.5,8,1,4.8,8,1,41.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/3/26,7.8,8,1,12.1,8,1,5.0,8,1,4.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/3/27,7.5,8,1,11.5,8,1,4.8,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/3/28,6.6,8,1,9.1,8,1,4.7,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/3/29,3.9,8,1,9.4,8,1,-0.1,8,1,7.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/3/30,4.0,8,1,10.4,8,1,-2.7,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/3/31,9.3,8,1,14.7,8,1,0.5,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/4/1,14.4,8,1,18.7,8,1,7.7,8,1,5.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/4/2,16.7,8,1,23.4,8,1,11.0,8,1,27.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/4/3,11.2,8,1,15.3,8,1,7.8,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/4/4,8.7,8,1,10.6,8,1,5.4,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/4/5,10.5,8,1,12.9,8,1,7.8,8,1,26.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/4/6,14.3,8,1,19.3,8,1,10.5,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/4/7,12.1,8,1,18.2,8,1,6.9,8,1,8.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/4/8,9.5,8,1,13.5,8,1,6.4,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/4/9,10.8,8,1,14.8,8,1,6.8,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/4/10,14.9,8,1,20.1,8,1,9.5,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/4/11,16.8,8,1,23.6,8,1,11.6,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/4/12,9.8,8,1,13.9,8,1,7.6,8,1,43.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/4/13,16.4,8,1,22.7,8,1,8.5,8,1,4.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/4/14,14.6,8,1,18.7,8,1,11.8,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/4/15,7.7,8,1,12.5,8,1,6.3,8,1,5.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/4/16,5.4,8,1,7.3,8,1,4.0,8,1,14.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/4/17,8.8,8,1,13.0,8,1,5.3,8,1,27.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/4/18,12.0,8,1,16.8,8,1,7.4,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/4/19,14.1,8,1,20.3,8,1,7.4,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/4/20,15.8,8,1,18.4,8,1,13.1,8,1,2.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/4/21,17.4,8,1,22.3,8,1,13.2,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/4/22,10.2,8,1,15.3,8,1,8.2,8,1,47.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/4/23,9.8,8,1,11.2,8,1,8.5,8,1,2.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/4/24,10.2,8,1,14.1,8,1,6.0,8,1,2.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/4/25,10.9,8,1,16.9,8,1,3.0,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/4/26,14.1,8,1,20.4,8,1,6.0,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/4/27,11.8,8,1,13.7,8,1,10.5,8,1,67.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/4/28,14.2,8,1,16.6,8,1,11.7,8,1,71.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/4/29,17.1,8,1,23.0,8,1,10.7,8,1,3.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/4/30,14.4,8,1,21.2,8,1,7.6,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/5/1,14.8,8,1,21.8,8,1,7.3,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/5/2,15.7,8,1,21.7,8,1,8.4,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/5/3,17.6,8,1,25.2,8,1,10.4,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/5/4,19.0,8,1,23.4,8,1,13.8,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/5/5,20.7,8,1,25.8,8,1,14.9,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/5/6,22.5,8,1,29.6,8,1,15.9,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/5/7,20.1,8,1,23.2,8,1,17.7,8,1,2.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/5/8,18.3,8,1,22.9,8,1,14.6,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/5/9,18.3,8,1,24.2,8,1,12.2,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/5/10,17.6,8,1,22.2,8,1,13.4,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/5/11,15.7,8,1,17.0,8,1,14.8,8,1,8.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/5/12,15.9,8,1,20.8,8,1,11.8,8,1,3.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/5/13,15.5,8,1,20.3,8,1,10.8,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/5/14,14.6,8,1,19.7,8,1,11.7,8,1,3.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/5/15,14.8,8,1,19.3,8,1,9.8,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/5/16,16.7,8,1,21.4,8,1,11.9,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/5/17,18.4,8,1,24.1,8,1,12.2,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/5/18,21.1,8,1,27.8,8,1,14.1,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/5/19,19.3,8,1,21.5,8,1,16.5,8,1,3.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/5/20,20.1,8,1,24.2,8,1,17.6,8,1,18.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/5/21,23.0,8,1,28.3,8,1,18.5,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/5/22,21.3,8,1,27.3,8,1,15.7,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/5/23,16.8,8,1,18.9,8,1,15.0,8,1,58.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/5/24,17.6,8,1,21.6,8,1,15.0,8,1,40.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/5/25,23.3,8,1,29.6,8,1,17.2,8,1,5.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/5/26,19.0,8,1,24.3,8,1,13.5,8,1,4.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/5/27,17.6,8,1,22.6,8,1,13.5,8,1,3.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/5/28,17.9,8,1,21.5,8,1,14.1,8,1,2.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/5/29,15.2,8,1,16.7,8,1,14.1,8,1,8.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/5/30,14.7,8,1,16.5,8,1,13.0,8,1,0.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/5/31,16.0,8,1,21.0,8,1,12.1,8,1,0.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/6/1,17.2,8,1,22.3,8,1,13.6,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/6/2,17.6,8,1,23.3,8,1,12.0,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/6/3,18.8,8,1,24.9,8,1,12.8,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/6/4,20.5,8,1,25.4,8,1,13.5,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/6/5,20.7,8,1,25.5,8,1,16.6,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/6/6,20.3,8,1,24.5,8,1,16.5,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/6/7,21.2,8,1,26.6,8,1,16.4,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/6/8,19.9,8,1,23.0,8,1,17.6,8,1,0.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/6/9,19.7,8,1,24.1,8,1,16.4,8,1,3.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/6/10,21.7,8,1,27.6,8,1,14.4,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/6/11,21.2,8,1,24.1,8,1,18.9,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/6/12,24.3,8,1,31.1,8,1,19.2,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/6/13,22.3,8,1,27.0,8,1,19.1,8,1,1.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/6/14,18.7,8,1,20.9,8,1,16.1,8,1,22.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/6/15,22.5,8,1,26.5,8,1,18.5,8,1,6.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/6/16,25.3,8,1,30.8,8,1,21.1,8,1,32.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/6/17,25.8,8,1,30.1,8,1,21.3,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/6/18,23.4,8,1,28.5,8,1,21.4,8,1,55.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/6/19,25.9,8,1,28.6,8,1,22.6,8,1,27.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/6/20,25.5,8,1,28.6,8,1,23.4,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/6/21,25.6,8,1,30.5,8,1,22.7,8,1,0.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/6/22,25.3,8,1,29.1,8,1,22.9,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/6/23,23.7,8,1,26.3,8,1,22.0,8,1,33.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/6/24,23.7,8,1,28.8,8,1,20.0,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/6/25,24.3,8,1,28.1,8,1,18.9,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/6/26,25.5,8,1,28.4,8,1,23.1,8,1,1.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/6/27,25.8,8,1,28.4,8,1,23.4,8,1,6.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/6/28,27.0,8,1,32.1,8,1,23.6,8,1,0.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/6/29,25.5,8,1,29.2,8,1,24.0,8,1,1.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/6/30,25.4,8,1,28.7,8,1,23.1,8,1,3.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/7/1,25.8,8,1,29.9,8,1,23.1,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/7/2,25.9,8,1,29.2,8,1,23.3,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/7/3,24.7,8,1,27.0,8,1,23.4,8,1,8.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/7/4,26.2,8,1,31.3,8,1,23.4,8,1,19.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/7/5,26.4,8,1,30.5,8,1,24.3,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/7/6,26.8,8,1,30.5,8,1,23.7,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/7/7,24.6,8,1,27.8,8,1,22.1,8,1,29.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/7/8,25.5,8,1,30.6,8,1,20.5,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/7/9,24.1,8,1,27.5,8,1,21.9,8,1,29.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/7/10,26.6,8,1,31.8,8,1,22.3,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/7/11,25.1,8,1,27.8,8,1,21.8,8,1,13.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/7/12,27.0,8,1,28.8,8,1,25.3,8,1,13.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/7/13,25.1,8,1,28.4,8,1,21.2,8,1,17.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/7/14,26.2,8,1,31.6,8,1,21.1,8,1,4.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/7/15,27.1,8,1,31.0,8,1,24.3,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/7/16,27.8,8,1,33.0,8,1,23.4,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/7/17,27.3,8,1,31.3,8,1,23.5,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/7/18,27.2,8,1,31.8,8,1,21.8,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/7/19,29.1,8,1,35.5,8,1,22.7,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/7/20,29.4,8,1,33.3,8,1,24.5,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/7/21,29.5,8,1,34.0,8,1,25.8,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/7/22,29.0,8,1,32.9,8,1,25.3,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/7/23,29.5,8,1,34.4,8,1,25.5,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/7/24,29.6,8,1,33.9,8,1,25.8,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/7/25,28.6,8,1,33.3,8,1,24.7,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/7/26,28.9,8,1,33.3,8,1,25.0,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/7/27,29.9,8,1,35.7,8,1,24.8,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/7/28,29.6,8,1,35.0,8,1,23.8,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/7/29,25.1,8,1,28.0,8,1,23.6,8,1,25.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/7/30,26.9,8,1,30.4,8,1,24.1,8,1,35.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/7/31,29.1,8,1,32.9,8,1,25.8,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/8/1,28.3,8,1,31.4,8,1,25.9,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/8/2,28.2,8,1,32.1,8,1,26.3,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/8/3,28.0,8,1,31.8,8,1,24.6,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/8/4,28.0,8,1,32.3,8,1,24.4,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/8/5,29.1,8,1,33.2,8,1,24.4,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/8/6,28.2,8,1,32.2,8,1,23.8,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/8/7,27.2,8,1,31.3,8,1,22.5,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/8/8,27.0,8,1,30.7,8,1,23.9,8,1,14.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/8/9,24.9,8,1,27.5,8,1,23.7,8,1,39.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/8/10,26.7,8,1,30.7,8,1,24.3,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/8/11,28.4,8,1,33.2,8,1,24.2,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/8/12,27.3,8,1,30.2,8,1,25.6,8,1,11.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/8/13,27.8,8,1,32.1,8,1,24.4,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/8/14,29.0,8,1,32.5,8,1,25.5,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
