ダウンロードした時刻：2021/02/03 17:52:42

,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢
2016/1/24,-0.4,8,1,4.0,8,1,-4.0,8,1,17.0,0,8,1,24,0,8,1,26,0,8,1,雪時々曇、大風を伴う,8,1,雪時々曇、雷を伴う,8,1
2016/1/25,0.7,8,1,3.7,8,1,-3.7,8,1,4.0,0,8,1,24,0,8,1,3,0,8,1,曇時々雪,8,1,曇時々雪,8,1
2016/1/26,3.8,8,1,6.7,8,1,-0.9,8,1,0.0,0,8,1,17,0,8,1,0,1,8,1,　晴時々曇一時雪,8,1,雨一時曇,8,1
2016/1/27,6.2,8,1,7.9,8,1,3.4,8,1,1.5,0,8,1,7,0,8,1,0,1,8,1,雨時々曇,8,1,曇後時々雨,8,1
2016/1/28,7.7,8,1,11.3,8,1,5.2,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,　雨一時曇,8,1
2016/1/29,4.7,8,1,6.2,8,1,3.3,8,1,22.5,0,8,1,0,1,8,1,0,1,8,1,雨,8,1,　雨後一時みぞれ,8,1
2016/1/30,4.3,8,1,7.7,8,1,1.0,8,1,8.0,0,8,1,0,1,8,1,0,1,8,1,曇一時みぞれ後晴,8,1,曇時々雨,8,1
2016/1/31,5.7,8,1,10.2,8,1,2.4,8,1,5.0,0,8,1,0,1,8,1,0,1,8,1,晴後曇一時雨,8,1,　雨後一時みぞれ,8,1
2016/2/1,2.2,8,1,3.9,8,1,1.3,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,雪後曇,8,1,曇,8,1
2016/2/2,2.0,8,1,3.6,8,1,1.0,8,1,1.5,0,8,1,0,1,8,1,0,1,8,1,雪一時曇,8,1,曇時々雪,8,1
2016/2/3,3.0,8,1,7.0,8,1,0.7,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,晴時々曇一時雪,8,1,晴,8,1
2016/2/4,4.7,8,1,8.7,8,1,0.8,8,1,11.5,0,8,1,0,1,8,1,0,1,8,1,曇一時晴後時々雨,8,1,雨、雷・あられを伴う,8,1
2016/2/5,6.0,8,1,9.8,8,1,3.7,8,1,7.5,0,8,1,0,1,8,1,0,1,8,1,晴時々曇一時雨,8,1,雨一時曇、雷を伴う,8,1
2016/2/6,3.8,8,1,8.7,8,1,0.8,8,1,22.0,0,8,1,0,0,8,1,0,1,8,1,曇時々雨一時雪、あられを伴う,8,1,雪一時みぞれ,8,1
2016/2/7,1.5,8,1,4.8,8,1,-0.7,8,1,0.0,0,8,1,1,0,8,1,1,0,8,1,晴一時雪,8,1,晴,8,1
2016/2/8,4.0,8,1,9.2,8,1,-1.8,8,1,2.0,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,雨一時曇、雷・あられを伴う,8,1
2016/2/9,3.9,8,1,6.8,8,1,0.9,8,1,33.0,0,8,1,0,1,8,1,0,1,8,1,雨時々雪、雷を伴う,8,1,曇時々雪一時みぞれ、あられを伴う,8,1
2016/2/10,3.9,8,1,7.0,8,1,1.4,8,1,2.0,0,8,1,1,0,8,1,1,0,8,1,晴時々曇一時雪,8,1,曇一時みぞれ後晴,8,1
2016/2/11,4.4,8,1,9.3,8,1,-0.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2016/2/12,9.1,8,1,16.9,8,1,0.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後曇,8,1,曇後一時雨,8,1
2016/2/13,13.3,8,1,15.9,8,1,9.2,8,1,5.0,0,8,1,0,1,8,1,0,1,8,1,雨一時曇,8,1,曇時々雨,8,1
2016/2/14,12.4,8,1,19.2,8,1,7.1,8,1,27.0,0,8,1,0,1,8,1,0,1,8,1,雨,8,1,雨、あられを伴う,8,1
2016/2/15,1.7,8,1,7.3,8,1,-0.7,8,1,22.5,0,8,1,13,0,8,1,17,0,8,1,雪,8,1,雪,8,1
2016/2/16,0.5,8,1,2.1,8,1,-1.4,8,1,34.0,0,8,1,22,0,8,1,9,0,8,1,雪,8,1,雪、雷・あられを伴う,8,1
2016/2/17,1.5,8,1,2.6,8,1,0.3,8,1,30.5,0,8,1,17,0,8,1,8,0,8,1,雪一時みぞれ、雷・あられを伴う,8,1,曇一時雪,8,1
2016/2/18,4.7,8,1,9.1,8,1,0.8,8,1,0,1,8,1,15,0,8,1,0,1,8,1,晴一時曇,8,1,晴後一時曇,8,1
2016/2/19,8.5,8,1,12.0,8,1,2.4,8,1,0.0,0,8,1,9,0,8,1,0,1,8,1,曇時々晴後一時雨,8,1,曇,8,1
2016/2/20,6.8,8,1,8.4,8,1,5.3,8,1,26.5,0,8,1,2,0,8,1,0,1,8,1,雨一時曇,8,1,雨時々曇,8,1
2016/2/21,6.7,8,1,9.3,8,1,3.1,8,1,3.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴一時雨,8,1,　曇一時雨後みぞれ、あられを伴う,8,1
2016/2/22,4.5,8,1,7.7,8,1,1.6,8,1,1.0,0,8,1,0,1,8,1,0,1,8,1,曇一時みぞれ,8,1,曇,8,1
2016/2/23,6.9,8,1,10.3,8,1,4.2,8,1,3.0,0,8,1,0,1,8,1,0,1,8,1,曇後時々雨,8,1,曇時々雨後一時雪、あられを伴う,8,1
2016/2/24,2.4,8,1,5.6,8,1,0.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,雪時々晴,8,1,雪時々曇,8,1
2016/2/25,2.6,8,1,6.9,8,1,-0.7,8,1,3.5,0,8,1,6,0,8,1,6,0,8,1,晴時々曇一時雪,8,1,曇時々雪,8,1
2016/2/26,2.3,8,1,5.2,8,1,0.5,8,1,13.5,0,8,1,6,0,8,1,6,0,8,1,雪時々曇、雷・あられを伴う,8,1,晴一時雨、雷を伴う,8,1
2016/2/27,6.0,8,1,11.1,8,1,0.1,8,1,3.0,0,8,1,2,0,8,1,0,1,8,1,晴後曇一時雨、雷を伴う,8,1,曇時々雨後一時晴,8,1
2016/2/28,8.1,8,1,13.1,8,1,2.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,曇時々晴後一時雨,8,1
2016/2/29,6.0,8,1,15.1,8,1,0.1,8,1,29.0,0,8,1,5,0,8,1,5,0,8,1,雨後一時みぞれ,8,1,雪一時みぞれ、雷を伴う,8,1
2016/3/1,1.1,8,1,4.5,8,1,-1.3,8,1,3.5,0,8,1,6,0,8,1,5,0,8,1,曇時々雪、あられを伴う,8,1,曇時々雪,8,1
2016/3/2,4.1,8,1,7.2,8,1,0.4,8,1,5.0,0,8,1,4,0,8,1,1,0,8,1,曇時々雨一時雪,8,1,晴一時曇,8,1
2016/3/3,8.3,8,1,12.4,8,1,3.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨後晴,8,1,快晴,8,1
2016/3/4,8.3,8,1,15.6,8,1,1.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴一時薄曇,8,1,晴後曇一時雨,8,1
2016/3/5,11.5,8,1,18.6,8,1,7.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨後晴,8,1,快晴,8,1
2016/3/6,16.2,8,1,22.4,8,1,8.3,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,薄曇一時雨,8,1,曇時々雨,8,1
2016/3/7,12.4,8,1,17.9,8,1,10.0,8,1,2.5,0,8,1,0,1,8,1,0,1,8,1,曇後晴,8,1,晴後曇、霧を伴う,8,1
2016/3/8,11.4,8,1,15.0,8,1,9.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時霧雨,8,1,雨時々曇,8,1
2016/3/9,4.9,8,1,10.2,8,1,3.0,8,1,9.5,0,8,1,0,1,8,1,0,1,8,1,雨,8,1,曇時々雨,8,1
2016/3/10,4.6,8,1,7.8,8,1,1.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,曇,8,1
2016/3/11,4.7,8,1,8.8,8,1,1.5,8,1,4.0,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,雨後曇一時雪,8,1
2016/3/12,4.0,8,1,8.1,8,1,1.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,みぞれ時々曇後晴,8,1,晴,8,1
2016/3/13,5.7,8,1,10.1,8,1,1.3,8,1,3.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,雨,8,1
2016/3/14,5.1,8,1,7.9,8,1,2.8,8,1,7.5,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,曇一時晴後時々雨,8,1
2016/3/15,5.7,8,1,8.9,8,1,2.8,8,1,1.5,0,8,1,0,1,8,1,0,1,8,1,曇一時雨後晴、あられを伴う,8,1,晴後一時薄曇,8,1
2016/3/16,8.3,8,1,15.6,8,1,1.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,晴,8,1
2016/3/17,10.9,8,1,17.0,8,1,3.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,薄曇後晴,8,1
2016/3/18,12.8,8,1,20.8,8,1,5.9,8,1,3.5,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,雨,8,1
2016/3/19,11.2,8,1,13.7,8,1,8.9,8,1,13.5,0,8,1,0,1,8,1,0,1,8,1,雨時々曇、霧を伴う,8,1,曇,8,1
2016/3/20,8.6,8,1,11.5,8,1,6.4,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,曇一時雨,8,1
2016/3/21,7.1,8,1,10.2,8,1,4.1,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2016/3/22,9.6,8,1,15.4,8,1,2.4,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,曇,8,1
2016/3/23,8.6,8,1,11.9,8,1,5.1,8,1,1.0,0,8,1,0,1,8,1,0,1,8,1,曇後一時雨,8,1,雨後晴一時曇,8,1
2016/3/24,5.8,8,1,9.8,8,1,3.1,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴一時みぞれ、あられを伴う,8,1,曇時々雨一時みぞれ、あられを伴う,8,1
2016/3/25,4.8,8,1,8.5,8,1,1.7,8,1,2.0,0,8,1,0,1,8,1,0,1,8,1,曇時々みぞれ後晴、あられを伴う,8,1,曇一時みぞれ後晴,8,1
2016/3/26,7.0,8,1,10.7,8,1,2.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴後一時曇,8,1,晴時々曇,8,1
2016/3/27,8.1,8,1,12.5,8,1,3.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴一時薄曇,8,1,晴時々曇,8,1
2016/3/28,9.5,8,1,13.8,8,1,5.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴,8,1
2016/3/29,11.4,8,1,15.5,8,1,4.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇一時晴,8,1,曇後晴,8,1
2016/3/30,13.9,8,1,18.3,8,1,8.4,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇後一時雨,8,1,晴,8,1
2016/3/31,12.5,8,1,17.9,8,1,4.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇一時晴,8,1,薄曇後晴,8,1
2016/4/1,14.8,8,1,23.0,8,1,8.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後薄曇,8,1,晴,8,1
2016/4/2,15.9,8,1,20.4,8,1,9.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴後曇,8,1
2016/4/3,17.8,8,1,23.3,8,1,12.9,8,1,1.0,0,8,1,0,1,8,1,0,1,8,1,曇後一時雨,8,1,雨,8,1
2016/4/4,10.6,8,1,14.8,8,1,9.1,8,1,26.0,0,8,1,0,1,8,1,0,1,8,1,雨,8,1,曇時々雨,8,1
2016/4/5,11.3,8,1,14.7,8,1,8.9,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,晴,8,1
2016/4/6,12.5,8,1,17.2,8,1,6.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇時々晴,8,1,曇後一時雨,8,1
2016/4/7,13.0,8,1,23.9,8,1,10.1,8,1,45.5,0,8,1,0,1,8,1,0,1,8,1,大雨一時曇,8,1,雨時々曇,8,1
2016/4/8,13.6,8,1,16.6,8,1,11.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇後一時晴,8,1,晴,8,1
2016/4/9,16.8,8,1,21.4,8,1,9.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇後晴,8,1,薄曇一時晴,8,1
2016/4/10,15.8,8,1,20.5,8,1,10.4,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,曇後雨,8,1
2016/4/11,7.3,8,1,10.7,8,1,3.5,8,1,9.5,0,8,1,0,1,8,1,0,1,8,1,晴時々曇一時雨,8,1,曇後晴,8,1
2016/4/12,9.2,8,1,13.7,8,1,2.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後薄曇,8,1,薄曇一時晴,8,1
2016/4/13,15.1,8,1,24.3,8,1,8.4,8,1,28.0,0,8,1,0,1,8,1,0,1,8,1,曇後一時雨,8,1,雨後曇,8,1
2016/4/14,15.4,8,1,20.3,8,1,12.7,8,1,1.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,曇後晴,8,1
2016/4/15,11.5,8,1,13.8,8,1,8.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2016/4/16,15.4,8,1,23.3,8,1,6.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇時々晴,8,1,曇後一時雨,8,1
2016/4/17,19.0,8,1,28.1,8,1,14.9,8,1,1.0,0,8,1,0,1,8,1,0,1,8,1,晴一時雨、大風を伴う,8,1,晴時々薄曇,8,1
2016/4/18,14.3,8,1,17.1,8,1,11.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇後晴,8,1
2016/4/19,12.5,8,1,17.4,8,1,7.4,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,晴時々曇,8,1
2016/4/20,13.4,8,1,17.8,8,1,7.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後薄曇,8,1,曇一時晴,8,1
2016/4/21,14.9,8,1,19.9,8,1,12.6,8,1,28.0,0,8,1,0,1,8,1,0,1,8,1,曇後雨,8,1,雨一時曇,8,1
2016/4/22,14.5,8,1,16.5,8,1,12.7,8,1,4.0,0,8,1,0,1,8,1,0,1,8,1,雨後曇,8,1,薄曇一時晴,8,1
2016/4/23,15.6,8,1,22.0,8,1,11.3,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴後曇,8,1,曇一時雨,8,1
2016/4/24,15.3,8,1,20.2,8,1,11.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,薄曇時々晴,8,1,薄曇一時晴,8,1
2016/4/25,15.8,8,1,22.0,8,1,10.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,薄曇後晴,8,1
2016/4/26,16.8,8,1,21.6,8,1,11.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後時々薄曇,8,1,薄曇,8,1
2016/4/27,15.6,8,1,22.2,8,1,12.6,8,1,3.5,0,8,1,0,1,8,1,0,1,8,1,晴後曇,8,1,雨,8,1
2016/4/28,12.4,8,1,14.0,8,1,11.5,8,1,52.5,0,8,1,0,1,8,1,0,1,8,1,大雨,8,1,曇時々雨,8,1
2016/4/29,11.7,8,1,14.6,8,1,9.1,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,晴一時雨,8,1,晴,8,1
2016/4/30,14.2,8,1,18.9,8,1,7.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴後曇一時雨,8,1,雨後曇一時晴,8,1
2016/5/1,17.2,8,1,21.0,8,1,12.4,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,薄曇時々晴,8,1
2016/5/2,19.1,8,1,25.4,8,1,12.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇後一時晴,8,1,晴,8,1
2016/5/3,22.2,8,1,28.2,8,1,14.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,雨時々曇,8,1
2016/5/4,20.3,8,1,25.4,8,1,13.7,8,1,11.5,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴,8,1
2016/5/5,17.9,8,1,20.1,8,1,14.3,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,薄曇,8,1
2016/5/6,19.3,8,1,24.8,8,1,13.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇後一時雨,8,1,曇一時雨,8,1
2016/5/7,18.8,8,1,22.1,8,1,14.4,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,薄曇後晴,8,1
2016/5/8,16.5,8,1,22.0,8,1,11.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後薄曇,8,1,薄曇,8,1
2016/5/9,17.5,8,1,22.0,8,1,13.1,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇後時々雨,8,1,雨後時々曇,8,1
2016/5/10,17.8,8,1,22.0,8,1,15.1,8,1,9.5,0,8,1,0,1,8,1,0,1,8,1,雨時々曇,8,1,雨時々曇,8,1
2016/5/11,16.5,8,1,24.4,8,1,13.8,8,1,11.0,0,8,1,0,1,8,1,0,1,8,1,雨,8,1,曇時々雨,8,1
2016/5/12,16.0,8,1,19.2,8,1,13.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴一時雨,8,1,快晴,8,1
2016/5/13,18.9,8,1,25.0,8,1,13.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後時々曇,8,1,曇,8,1
2016/5/14,17.5,8,1,21.7,8,1,15.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇後晴,8,1,晴一時曇,8,1
2016/5/15,21.5,8,1,26.8,8,1,14.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇後一時晴,8,1,薄曇,8,1
2016/5/16,21.1,8,1,31.3,8,1,12.2,8,1,10.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴一時雨,8,1,雨,8,1
2016/5/17,15.0,8,1,18.7,8,1,11.6,8,1,6.5,0,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,晴,8,1
2016/5/18,17.9,8,1,24.5,8,1,10.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2016/5/19,19.5,8,1,25.1,8,1,13.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇一時晴,8,1,薄曇後一時晴,8,1
2016/5/20,19.7,8,1,24.2,8,1,15.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴後一時曇,8,1
2016/5/21,18.7,8,1,22.9,8,1,15.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴後時々曇,8,1
2016/5/22,19.1,8,1,23.1,8,1,14.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴後一時薄曇,8,1
2016/5/23,20.5,8,1,26.7,8,1,15.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴時々薄曇,8,1,晴後一時薄曇,8,1
2016/5/24,25.1,8,1,31.1,8,1,16.0,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,曇後雨,8,1
2016/5/25,22.1,8,1,27.6,8,1,19.3,8,1,2.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇時々晴,8,1
2016/5/26,23.7,8,1,29.5,8,1,19.9,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,雨,8,1
2016/5/27,20.0,8,1,25.2,8,1,16.6,8,1,24.0,0,8,1,0,1,8,1,0,1,8,1,曇一時雨後晴,8,1,晴後薄曇,8,1
2016/5/28,20.3,8,1,24.2,8,1,17.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇後一時晴,8,1,晴後一時薄曇,8,1
2016/5/29,21.3,8,1,28.0,8,1,16.7,8,1,2.5,0,8,1,0,1,8,1,0,1,8,1,晴後曇,8,1,雨,8,1
2016/5/30,18.3,8,1,21.2,8,1,15.7,8,1,4.0,0,8,1,0,1,8,1,0,1,8,1,雨後曇,8,1,曇後一時晴,8,1
2016/5/31,21.0,8,1,24.8,8,1,17.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,曇後一時晴,8,1
2016/6/1,17.9,8,1,21.1,8,1,14.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴後一時曇,8,1,晴一時曇,8,1
2016/6/2,16.7,8,1,20.9,8,1,12.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,快晴,8,1
2016/6/3,18.7,8,1,24.0,8,1,11.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴後一時薄曇,8,1
2016/6/4,22.2,8,1,27.6,8,1,15.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,曇,8,1
2016/6/5,20.9,8,1,24.7,8,1,17.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,晴,8,1
2016/6/6,20.7,8,1,25.6,8,1,17.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,曇後時々雨,8,1
2016/6/7,21.6,8,1,24.6,8,1,18.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,晴時々曇,8,1
2016/6/8,23.7,8,1,28.6,8,1,18.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇時々晴,8,1,曇,8,1
2016/6/9,21.3,8,1,23.6,8,1,18.6,8,1,16.5,0,8,1,0,1,8,1,0,1,8,1,雨後一時曇,8,1,晴後時々曇,8,1
2016/6/10,22.2,8,1,26.7,8,1,17.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴,8,1
2016/6/11,24.9,8,1,30.3,8,1,18.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,曇後時々晴,8,1
2016/6/12,25.2,8,1,30.2,8,1,21.6,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,雨,8,1
2016/6/13,21.0,8,1,22.6,8,1,19.8,8,1,25.0,0,8,1,0,1,8,1,0,1,8,1,雨後曇,8,1,曇時々雨,8,1
