ダウンロードした時刻：2021/02/03 17:20:28

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
2010/1/28,12.2,8,1,15.5,8,1,5.4,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇後一時雨,8,1,薄曇後晴,8,1
2010/1/29,8.9,8,1,11.6,8,1,6.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴後時々曇,8,1,晴時々曇,8,1
2010/1/30,8.9,8,1,13.0,8,1,4.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,晴時々薄曇,8,1
2010/1/31,9.2,8,1,12.4,8,1,5.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴時々薄曇,8,1,曇後晴,8,1
2010/2/1,5.9,8,1,9.4,8,1,0.6,8,1,31.5,0,8,1,1,0,8,1,1,0,8,1,曇後雨,8,1,雪時々みぞれ後曇,8,1
2010/2/2,4.2,8,1,7.5,8,1,1.0,8,1,1.5,0,8,1,1,0,8,1,1,0,8,1,曇時々晴,8,1,薄曇一時晴,8,1
2010/2/3,3.7,8,1,6.9,8,1,0.1,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,曇一時雪後晴,8,1
2010/2/4,2.9,8,1,6.6,8,1,-0.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴,8,1
2010/2/5,4.9,8,1,9.4,8,1,0.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴,8,1
2010/2/6,3.2,8,1,7.6,8,1,0.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2010/2/7,4.9,8,1,9.6,8,1,0.3,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴一時薄曇,8,1
2010/2/8,6.3,8,1,10.0,8,1,1.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴時々薄曇,8,1,薄曇後晴,8,1
2010/2/9,11.8,8,1,21.0,8,1,3.7,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴後薄曇,8,1,曇一時晴,8,1
2010/2/10,8.5,8,1,13.1,8,1,4.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇後一時雨,8,1,雨後一時曇,8,1
2010/2/11,4.5,8,1,6.0,8,1,1.9,8,1,10.0,0,8,1,0,1,8,1,0,1,8,1,雨時々曇,8,1,雨時々みぞれ一時雪、あられを伴う,8,1
2010/2/12,3.5,8,1,5.2,8,1,2.0,8,1,2.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雪一時雨,8,1,曇後一時雪,8,1
2010/2/13,2.2,8,1,4.0,8,1,1.1,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,雪後みぞれ,8,1,雪後曇,8,1
2010/2/14,4.6,8,1,7.7,8,1,0.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後曇,8,1,曇,8,1
2010/2/15,5.3,8,1,6.5,8,1,4.3,8,1,17.0,0,8,1,0,1,8,1,0,1,8,1,雨一時曇,8,1,雨後一時曇,8,1
2010/2/16,3.9,8,1,5.2,8,1,1.8,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨一時雪,8,1,雪時々曇一時みぞれ,8,1
2010/2/17,3.1,8,1,5.0,8,1,1.4,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇時々雪一時みぞれ,8,1
2010/2/18,3.5,8,1,6.3,8,1,0.5,8,1,2.0,0,8,1,0,0,8,1,0,1,8,1,曇一時雪,8,1,晴一時曇,8,1
2010/2/19,5.7,8,1,9.1,8,1,1.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇後時々晴,8,1,晴後一時曇,8,1
2010/2/20,7.0,8,1,11.2,8,1,3.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴,8,1
2010/2/21,6.1,8,1,9.3,8,1,4.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後時々曇,8,1,曇一時晴,8,1
2010/2/22,6.5,8,1,10.1,8,1,4.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇後一時晴,8,1,晴後薄曇,8,1
2010/2/23,9.7,8,1,14.7,8,1,4.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇後晴,8,1,晴一時曇,8,1
2010/2/24,12.0,8,1,16.6,8,1,8.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,快晴,8,1
2010/2/25,13.9,8,1,18.3,8,1,8.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴時々薄曇,8,1,曇,8,1
2010/2/26,16.9,8,1,18.7,8,1,14.7,8,1,2.5,0,8,1,0,1,8,1,0,1,8,1,曇後雨,8,1,雨,8,1
2010/2/27,10.9,8,1,14.7,8,1,7.7,8,1,30.0,0,8,1,0,1,8,1,0,1,8,1,雨時々曇,8,1,雨時々曇,8,1
2010/2/28,6.4,8,1,8.4,8,1,2.8,8,1,17.0,0,8,1,0,1,8,1,0,1,8,1,雨一時みぞれ後晴,8,1,曇一時晴,8,1
2010/3/1,9.0,8,1,14.7,8,1,6.3,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,雨時々曇,8,1
2010/3/2,5.3,8,1,7.3,8,1,3.9,8,1,1.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇,8,1
2010/3/3,8.4,8,1,13.5,8,1,4.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後時々曇,8,1,曇一時晴,8,1
2010/3/4,7.6,8,1,10.6,8,1,5.4,8,1,4.5,0,8,1,0,1,8,1,0,1,8,1,曇後一時雨,8,1,雨後一時晴,8,1
2010/3/5,12.5,8,1,18.2,8,1,5.5,8,1,6.0,0,8,1,0,1,8,1,0,1,8,1,晴後一時薄曇,8,1,曇,8,1
2010/3/6,11.4,8,1,13.7,8,1,9.0,8,1,5.0,0,8,1,0,1,8,1,0,1,8,1,雨後時々曇,8,1,曇一時霧雨後時々雨,8,1
2010/3/7,6.2,8,1,9.3,8,1,3.7,8,1,7.5,0,8,1,0,1,8,1,0,1,8,1,雨,8,1,雨後曇,8,1
2010/3/8,5.5,8,1,8.4,8,1,3.3,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,晴後曇,8,1
2010/3/9,3.5,8,1,5.6,8,1,0.9,8,1,23.0,0,8,1,0,0,8,1,0,1,8,1,曇後雨一時みぞれ,8,1,雪時々みぞれ後雨,8,1
2010/3/10,5.3,8,1,11.2,8,1,1.3,8,1,8.0,0,8,1,0,0,8,1,0,1,8,1,曇一時雨後晴,8,1,晴,8,1
2010/3/11,8.6,8,1,12.6,8,1,3.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2010/3/12,10.3,8,1,15.2,8,1,4.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,薄曇後晴,8,1
2010/3/13,16.1,8,1,21.4,8,1,9.3,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後時々薄曇,8,1,快晴,8,1
2010/3/14,10.7,8,1,14.2,8,1,7.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴時々薄曇,8,1,晴時々曇,8,1
2010/3/15,13.7,8,1,18.0,8,1,7.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,大雨時々曇,8,1
2010/3/16,15.5,8,1,21.6,8,1,10.7,8,1,31.5,0,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,晴後曇,8,1
2010/3/17,9.8,8,1,12.8,8,1,7.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇後晴,8,1,晴,8,1
2010/3/18,9.6,8,1,13.1,8,1,5.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,薄曇後一時晴,8,1,曇後雨,8,1
2010/3/19,8.7,8,1,12.0,8,1,4.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴一時雨,8,1,晴,8,1
2010/3/20,15.2,8,1,20.9,8,1,7.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後一時薄曇,8,1,曇後一時雨,8,1
2010/3/21,15.3,8,1,21.1,8,1,6.9,8,1,4.5,0,8,1,0,1,8,1,0,1,8,1,晴一時雨,8,1,快晴,8,1
2010/3/22,9.8,8,1,13.6,8,1,5.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴一時薄曇,8,1,曇時々晴後一時雨,8,1
2010/3/23,10.9,8,1,14.7,8,1,7.8,8,1,2.0,0,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,雨,8,1
2010/3/24,6.9,8,1,10.2,8,1,3.2,8,1,24.5,0,8,1,0,1,8,1,0,1,8,1,雨、あられを伴う,8,1,雨、あられを伴う,8,1
2010/3/25,5.3,8,1,7.2,8,1,3.2,8,1,22.5,0,8,1,0,1,8,1,0,1,8,1,雨,8,1,雨後曇,8,1
2010/3/26,7.9,8,1,12.1,8,1,5.1,8,1,3.0,0,8,1,0,1,8,1,0,1,8,1,曇後一時雨,8,1,雨後曇,8,1
2010/3/27,8.1,8,1,12.3,8,1,4.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,曇,8,1
2010/3/28,5.5,8,1,9.5,8,1,4.0,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇一時雨,8,1
2010/3/29,4.4,8,1,8.3,8,1,2.4,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨一時みぞれ,8,1,晴一時曇,8,1
2010/3/30,5.9,8,1,10.4,8,1,1.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後一時薄曇,8,1,晴一時薄曇,8,1
2010/3/31,9.1,8,1,14.5,8,1,2.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,晴時々曇,8,1
2010/4/1,14.7,8,1,20.7,8,1,7.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,曇一時晴,8,1
2010/4/2,15.2,8,1,20.0,8,1,10.4,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,雨時々曇,8,1,曇後一時晴,8,1
2010/4/3,11.1,8,1,14.5,8,1,8.7,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇後晴,8,1,晴一時雨,8,1
2010/4/4,8.8,8,1,10.9,8,1,7.0,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇後一時雨,8,1,雨時々曇,8,1
2010/4/5,9.4,8,1,12.1,8,1,7.2,8,1,16.0,0,8,1,0,1,8,1,0,1,8,1,雨後一時曇,8,1,曇一時雨,8,1
2010/4/6,14.8,8,1,19.1,8,1,11.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,曇,8,1
2010/4/7,11.6,8,1,16.3,8,1,7.7,8,1,2.5,0,8,1,0,1,8,1,0,1,8,1,曇後雨,8,1,雨時々曇一時晴,8,1
2010/4/8,8.9,8,1,13.1,8,1,6.1,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴後曇,8,1
2010/4/9,11.1,8,1,14.6,8,1,6.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,曇後一時雨,8,1
2010/4/10,15.6,8,1,20.2,8,1,11.3,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,曇時々晴,8,1
2010/4/11,17.2,8,1,23.2,8,1,14.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,曇,8,1
2010/4/12,8.6,8,1,14.3,8,1,6.2,8,1,30.5,0,8,1,0,1,8,1,0,1,8,1,雨一時曇,8,1,雨,8,1
2010/4/13,15.1,8,1,20.0,8,1,6.8,8,1,6.5,0,8,1,0,1,8,1,0,1,8,1,晴後薄曇,8,1,晴後曇,8,1
2010/4/14,13.9,8,1,17.4,8,1,10.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴後曇,8,1,曇後雨,8,1
2010/4/15,6.9,8,1,11.2,8,1,5.5,8,1,8.0,0,8,1,0,1,8,1,0,1,8,1,雨後一時曇,8,1,曇後雨,8,1
2010/4/16,5.2,8,1,7.4,8,1,2.3,8,1,9.5,0,8,1,0,1,8,1,0,1,8,1,雨,8,1,雨後一時みぞれ、あられを伴う,8,1
2010/4/17,6.3,8,1,11.5,8,1,1.4,8,1,22.0,0,8,1,0,0,8,1,0,1,8,1,雨一時雪後晴、あられを伴う,8,1,曇時々晴,8,1
2010/4/18,12.0,8,1,16.5,8,1,6.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後薄曇,8,1,薄曇,8,1
2010/4/19,15.2,8,1,20.0,8,1,9.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇一時晴,8,1,薄曇,8,1
2010/4/20,15.6,8,1,18.1,8,1,13.3,8,1,6.5,0,8,1,0,1,8,1,0,1,8,1,曇後雨,8,1,雨後曇,8,1
2010/4/21,18.8,8,1,25.5,8,1,13.9,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,薄曇一時晴,8,1,曇時々雨,8,1
2010/4/22,9.1,8,1,14.2,8,1,7.0,8,1,22.0,0,8,1,0,1,8,1,0,1,8,1,雨,8,1,雨一時曇後霧雨,8,1
2010/4/23,8.2,8,1,10.1,8,1,6.9,8,1,3.0,0,8,1,0,1,8,1,0,1,8,1,雨後時々曇,8,1,雨時々曇,8,1
2010/4/24,11.2,8,1,16.7,8,1,7.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴後一時曇,8,1,晴一時曇,8,1
2010/4/25,12.7,8,1,16.7,8,1,7.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴,8,1
2010/4/26,14.4,8,1,19.9,8,1,9.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴時々薄曇,8,1,曇一時晴,8,1
2010/4/27,12.7,8,1,15.7,8,1,10.3,8,1,8.0,0,8,1,0,1,8,1,0,1,8,1,曇後雨,8,1,雨,8,1
2010/4/28,14.1,8,1,15.4,8,1,12.5,8,1,79.0,0,8,1,0,1,8,1,0,1,8,1,大雨後一時曇,8,1,曇,8,1
2010/4/29,18.2,8,1,23.4,8,1,12.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,晴,8,1
2010/4/30,15.2,8,1,20.0,8,1,10.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後薄曇,8,1,晴時々曇,8,1
2010/5/1,16.4,8,1,20.1,8,1,11.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2010/5/2,17.9,8,1,22.1,8,1,12.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴後一時薄曇,8,1
2010/5/3,19.0,8,1,24.0,8,1,14.3,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,薄曇,8,1
2010/5/4,20.6,8,1,24.7,8,1,17.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,薄曇後一時晴,8,1
2010/5/5,21.9,8,1,27.6,8,1,16.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴時々薄曇,8,1,薄曇,8,1
2010/5/6,22.4,8,1,27.8,8,1,19.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇後晴,8,1,晴時々曇,8,1
2010/5/7,20.4,8,1,22.3,8,1,18.3,8,1,6.0,0,8,1,0,1,8,1,0,1,8,1,曇後雨,8,1,雨後晴,8,1
2010/5/8,19.7,8,1,23.7,8,1,16.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴時々薄曇,8,1,薄曇後時々晴,8,1
2010/5/9,20.7,8,1,26.6,8,1,16.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇一時晴,8,1,曇,8,1
2010/5/10,19.1,8,1,22.5,8,1,15.4,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇後時々雨,8,1
2010/5/11,17.1,8,1,19.7,8,1,15.0,8,1,18.5,0,8,1,0,1,8,1,0,1,8,1,雨後一時曇,8,1,雨,8,1
2010/5/12,16.4,8,1,21.8,8,1,13.2,8,1,6.5,0,8,1,0,1,8,1,0,1,8,1,雨一時曇後晴,8,1,快晴,8,1
2010/5/13,16.5,8,1,20.9,8,1,11.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,曇時々雨一時晴,8,1
2010/5/14,15.4,8,1,19.6,8,1,13.0,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴後曇,8,1,曇後一時晴,8,1
2010/5/15,15.1,8,1,19.3,8,1,12.3,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後一時曇,8,1,曇,8,1
2010/5/16,17.3,8,1,21.3,8,1,13.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,晴,8,1
2010/5/17,20.7,8,1,26.0,8,1,15.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴時々薄曇,8,1,晴,8,1
2010/5/18,21.6,8,1,26.3,8,1,17.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇時々晴,8,1,薄曇後一時晴,8,1
2010/5/19,20.3,8,1,22.9,8,1,18.8,8,1,5.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,雨,8,1
2010/5/20,20.2,8,1,22.1,8,1,18.6,8,1,24.5,0,8,1,0,1,8,1,0,1,8,1,雨後一時曇,8,1,曇時々雨一時晴,8,1
2010/5/21,24.3,8,1,30.9,8,1,19.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴後一時薄曇,8,1
2010/5/22,23.4,8,1,27.2,8,1,20.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,曇,8,1
2010/5/23,18.3,8,1,21.0,8,1,15.5,8,1,20.0,0,8,1,0,1,8,1,0,1,8,1,雨一時曇,8,1,雨,8,1
2010/5/24,18.1,8,1,21.5,8,1,15.5,8,1,24.5,0,8,1,0,1,8,1,0,1,8,1,雨後一時霧雨、霧を伴う,8,1,曇一時霧雨,8,1
2010/5/25,23.5,8,1,29.0,8,1,18.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴時々薄曇,8,1,薄曇時々晴,8,1
2010/5/26,17.6,8,1,22.5,8,1,13.4,8,1,2.5,0,8,1,0,1,8,1,0,1,8,1,曇後一時雨,8,1,雨後一時曇,8,1
2010/5/27,17.6,8,1,22.2,8,1,13.3,8,1,5.5,0,8,1,0,1,8,1,0,1,8,1,曇後晴一時雨,8,1,曇時々晴,8,1
2010/5/28,18.5,8,1,22.4,8,1,15.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後一時曇,8,1,曇,8,1
2010/5/29,15.6,8,1,17.6,8,1,14.0,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇後雨一時霧雨,8,1,曇後一時雨,8,1
2010/5/30,14.5,8,1,16.7,8,1,12.0,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇後一時晴,8,1
2010/5/31,17.4,8,1,21.9,8,1,13.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後時々曇,8,1,曇後時々晴,8,1
2010/6/1,17.6,8,1,23.2,8,1,13.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2010/6/2,19.1,8,1,24.8,8,1,14.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2010/6/3,20.9,8,1,27.3,8,1,15.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴,8,1
2010/6/4,22.1,8,1,26.4,8,1,18.7,8,1,1.0,0,8,1,0,1,8,1,0,1,8,1,晴後一時薄曇,8,1,曇一時雨、雷を伴う,8,1
2010/6/5,20.2,8,1,24.2,8,1,17.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇後晴,8,1,曇時々晴,8,1
2010/6/6,21.4,8,1,26.1,8,1,17.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後薄曇,8,1,薄曇一時晴,8,1
2010/6/7,23.1,8,1,28.2,8,1,19.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,曇,8,1
2010/6/8,21.4,8,1,23.3,8,1,19.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,雨時々曇,8,1
2010/6/9,20.0,8,1,22.6,8,1,17.9,8,1,5.5,0,8,1,0,1,8,1,0,1,8,1,雨後曇,8,1,曇後晴,8,1
2010/6/10,22.6,8,1,28.2,8,1,18.0,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,曇,8,1
2010/6/11,22.6,8,1,27.2,8,1,19.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇後一時晴,8,1,曇後晴,8,1
2010/6/12,24.5,8,1,28.9,8,1,20.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴後一時薄曇,8,1
2010/6/13,23.2,8,1,26.0,8,1,21.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇後雨,8,1
2010/6/14,18.6,8,1,21.5,8,1,17.3,8,1,20.5,0,8,1,0,1,8,1,0,1,8,1,雨,8,1,雨後薄曇,8,1
2010/6/15,23.1,8,1,27.7,8,1,18.0,8,1,2.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,雨時々曇,8,1
2010/6/16,25.8,8,1,30.3,8,1,22.2,8,1,12.5,0,8,1,0,1,8,1,0,1,8,1,曇時々晴一時雨,8,1,曇時々晴,8,1
2010/6/17,26.7,8,1,31.6,8,1,22.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇時々晴,8,1,薄曇,8,1
2010/6/18,24.4,8,1,28.9,8,1,20.1,8,1,16.5,0,8,1,0,1,8,1,0,1,8,1,曇後雨,8,1,雨,8,1
2010/6/19,25.2,8,1,29.8,8,1,20.1,8,1,9.5,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,曇,8,1
2010/6/20,26.2,8,1,29.1,8,1,23.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇後雨,8,1
2010/6/21,25.9,8,1,29.0,8,1,23.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,曇,8,1
